description,mad_name,z_start(m),length(in),beamline,shape,round_diameter(in),elliptical_diameter_x(in),elliptical_diameter_y(in)
Magnet Quad with BPM ASSY,"QE31*,BPME31*",3433.487,10.0,LTUH,round,0.870,,
Drift Tube,,3433.741,18.5,LTUH,round,1.370,,
Drift Tube,,3434.211,36.0,LTUH,round,1.370,,
Flex Coupling,,3435.125,3.34,LTUH,round,1.370,,
Drift Tube(3 in a row),,3435.210,180.0,LTUH,round,1.370,,
4 Way Cross,,3439.782,4.92,LTUH,round,1.370,,
Bellows,,3439.907,5.20,LTUH,round,1.500,,
Drift Tube(4 in a row),,3440.039,240.0,LTUH,round,1.370,,
Pneumatic Valve,,3446.135,2.83,LTUH,round,1.570,,
Flex Coupling,,3446.207,4.00,LTUH,round,1.370,,
Drift Tube(3 in a row),,3446.309,180.0,LTUH,round,1.370,,
Drift Tube,,3450.881,10.0,LTUH,round,1.370,,
Magnet Quad with BPM ASSY,"QEM4*,BPME32*",3451.135,10.0,LTUH,round,0.870,,
Flex Coupling,,3451.389,3.34,LTUH,round,1.370,,
Drift Tube,,3451.474,21.38,LTUH,round,1.370,,
Collimator,CY32*,3452.017,8.6,LTUH,round,3.834,,
Drift Tube,,3452.235,21.38,LTUH,round,1.370,,
Bellows,,3452.778,6,LTUH,round,1.500,,
Drift Tube(2 in a row),,3452.930,120.0,LTUH,round,1.370,,
4 Way Cross,,3455.978,4.92,LTUH,round,1.370,,
Drift Tube,,3456.103,60.0,LTUH,round,1.370,,
4 Way Cross,,3457.627,4.92,LTUH,round,1.370,,
Flex Coupling,,3457.752,4.00,LTUH,round,1.370,,
Drift Tube,,3457.854,60.0,LTUH,round,1.370,,
Drift Tube,,3459.378,18.5,LTUH,round,1.370,,
Flex Coupling,,3459.848,4.00,LTUH,round,1.370,,
Fast Wire Scanner Assy,WS32*,3459.950,8.78,LTUH,round,1.3748,,
Flex Coupling,,3460.173,4.00,LTUH,round,1.370,,
Drift Tube,,3460.275,10.0,LTUH,round,1.370,,
Drift Tube,,3460.529,48,LTUH,round,1.370,,
Drift Tube,,3461.748,60.0,LTUH,round,1.370,,
4 Way Cross,,3463.272,4.92,LTUH,round,1.370,,
Drift Tube,,3463.397,60.0,LTUH,round,1.370,,
4 Way Cross,,3464.921,4.92,LTUH,round,1.370,,
